year,level_1,level_2,level_3,value
2015,"$5,000 - $5,999","Total","Bukit Merah",2.1
2015,"$5,000 - $5,999","Total","Bukit Panjang",2.4
2015,"$5,000 - $5,999","Total","Bukit Timah",0.3
2015,"$5,000 - $5,999","Total","Choa Chu Kang",3
2015,"$5,000 - $5,999","Total","Clementi",1.7
2015,"$5,000 - $5,999","Total","Geylang",1.9
2015,"$5,000 - $5,999","Total","Hougang",3.6
2015,"$5,000 - $5,999","Total","Jurong East",1.5
2015,"$5,000 - $5,999","Total","Jurong West",4.6
2015,"$5,000 - $5,999","Total","Kallang",1.6
2015,"$5,000 - $5,999","Total","Marine Parade",0.6
2015,"$5,000 - $5,999","Total","Novena",0.9
2015,"$5,000 - $5,999","Total","Outram",0.5
2015,"$5,000 - $5,999","Total","Pasir Ris",2.7
2015,"$5,000 - $5,999","Total","Punggol",1.7
2015,"$5,000 - $5,999","Total","Queenstown",1.7
2015,"$5,000 - $5,999","Total","Sembawang",2
2015,"$5,000 - $5,999","Total","Sengkang",3.9
2015,"$5,000 - $5,999","Total","Serangoon",2.2
2015,"$5,000 - $5,999","Total","Tampines",4.9
2015,"$5,000 - $5,999","Total","Tanglin",0.1
2015,"$5,000 - $5,999","Total","Toa Payoh",1.9
2015,"$5,000 - $5,999","Total","Woodlands",5.5
2015,"$5,000 - $5,999","Total","Yishun",4.6
2015,"$5,000 - $5,999","Total","Others",0.6
2015,"$6,000 - $6,999","Total","Ang Mo Kio",2.9
2015,"$6,000 - $6,999","Total","Bedok",5.2
2015,"$6,000 - $6,999","Total","Bishan",1.1
2015,"$6,000 - $6,999","Total","Bukit Batok",3.1
2015,"$6,000 - $6,999","Total","Bukit Merah",2.2
2015,"$6,000 - $6,999","Total","Bukit Panjang",2.9
2015,"$6,000 - $6,999","Total","Bukit Timah",0.3
2015,"$6,000 - $6,999","Total","Choa Chu Kang",2.8
2015,"$6,000 - $6,999","Total","Clementi",1.7
2015,"$6,000 - $6,999","Total","Geylang",2
2015,"$6,000 - $6,999","Total","Hougang",4.2
2015,"$6,000 - $6,999","Total","Jurong East",1.5
2015,"$6,000 - $6,999","Total","Jurong West",5.6
2015,"$6,000 - $6,999","Total","Kallang",2.2
2015,"$6,000 - $6,999","Total","Marine Parade",0.7
2015,"$6,000 - $6,999","Total","Novena",0.7
2015,"$6,000 - $6,999","Total","Outram",0.4
2015,"$6,000 - $6,999","Total","Pasir Ris",2.3
2015,"$6,000 - $6,999","Total","Punggol",2
2015,"$6,000 - $6,999","Total","Queenstown",1.9
2015,"$6,000 - $6,999","Total","Sembawang",1.5
2015,"$6,000 - $6,999","Total","Sengkang",4.1
2015,"$6,000 - $6,999","Total","Serangoon",1.7
2015,"$6,000 - $6,999","Total","Tampines",5
2015,"$6,000 - $6,999","Total","Tanglin",0.2
2015,"$6,000 - $6,999","Total","Toa Payoh",2.3
2015,"$6,000 - $6,999","Total","Woodlands",5.5
2015,"$6,000 - $6,999","Total","Yishun",4.2
2015,"$6,000 - $6,999","Total","Others",0.6
2015,"$7,000 - $7,999","Total","Ang Mo Kio",3.3
2015,"$7,000 - $7,999","Total","Bedok",3.2
2015,"$7,000 - $7,999","Total","Bishan",1
2015,"$7,000 - $7,999","Total","Bukit Batok",2.3
2015,"$7,000 - $7,999","Total","Bukit Merah",2.3
2015,"$7,000 - $7,999","Total","Bukit Panjang",2.9
2015,"$7,000 - $7,999","Total","Bukit Timah",0.7
2015,"$7,000 - $7,999","Total","Choa Chu Kang",2.6
2015,"$7,000 - $7,999","Total","Clementi",1.2
2015,"$7,000 - $7,999","Total","Geylang",1.5
2015,"$7,000 - $7,999","Total","Hougang",3.7
2015,"$7,000 - $7,999","Total","Jurong East",1.6
2015,"$7,000 - $7,999","Total","Jurong West",6
2015,"$7,000 - $7,999","Total","Kallang",1.6
2015,"$7,000 - $7,999","Total","Marine Parade",0.4
2015,"$7,000 - $7,999","Total","Novena",0.5
2015,"$7,000 - $7,999","Total","Outram",0.3
2015,"$7,000 - $7,999","Total","Pasir Ris",2.3
2015,"$7,000 - $7,999","Total","Punggol",1.8
2015,"$7,000 - $7,999","Total","Queenstown",1.7
2015,"$7,000 - $7,999","Total","Sembawang",1.6
2015,"$7,000 - $7,999","Total","Sengkang",4.8
2015,"$7,000 - $7,999","Total","Serangoon",1.8
2015,"$7,000 - $7,999","Total","Tampines",4.9
2015,"$7,000 - $7,999","Total","Tanglin",0.2
2015,"$7,000 - $7,999","Total","Toa Payoh",1.9
2015,"$7,000 - $7,999","Total","Woodlands",4.9
2015,"$7,000 - $7,999","Total","Yishun",4
2015,"$7,000 - $7,999","Total","Others",0.5
2015,"$8,000 - $8,999","Total","Ang Mo Kio",2.6
2015,"$8,000 - $8,999","Total","Bedok",4.4
2015,"$8,000 - $8,999","Total","Bishan",1.7
2015,"$8,000 - $8,999","Total","Bukit Batok",2.4
2015,"$8,000 - $8,999","Total","Bukit Merah",1.6
2015,"$8,000 - $8,999","Total","Bukit Panjang",2.5
2015,"$8,000 - $8,999","Total","Bukit Timah",0.7
2015,"$8,000 - $8,999","Total","Choa Chu Kang",3.3
2015,"$8,000 - $8,999","Total","Clementi",1.5
2015,"$8,000 - $8,999","Total","Geylang",2.2
2015,"$8,000 - $8,999","Total","Hougang",3.8
2015,"$8,000 - $8,999","Total","Jurong East",1.1
2015,"$8,000 - $8,999","Total","Jurong West",5.4
2015,"$8,000 - $8,999","Total","Kallang",1.6
2015,"$8,000 - $8,999","Total","Marine Parade",0.3
2015,"$8,000 - $8,999","Total","Novena",0.5
2015,"$8,000 - $8,999","Total","Outram",0.3
2015,"$8,000 - $8,999","Total","Pasir Ris",2.2
2015,"$8,000 - $8,999","Total","Punggol",1.7
2015,"$8,000 - $8,999","Total","Queenstown",1.5
2015,"$8,000 - $8,999","Total","Sembawang",1.7
2015,"$8,000 - $8,999","Total","Sengkang",4
2015,"$8,000 - $8,999","Total","Serangoon",1.8
2015,"$8,000 - $8,999","Total","Tampines",4.2
2015,"$8,000 - $8,999","Total","Tanglin",0.3
2015,"$8,000 - $8,999","Total","Toa Payoh",1.7
2015,"$8,000 - $8,999","Total","Woodlands",4.5
2015,"$8,000 - $8,999","Total","Yishun",4.9
2015,"$8,000 - $8,999","Total","Others",0.6
2015,"$9,000 - $9,999","Total","Ang Mo Kio",2.3
2015,"$9,000 - $9,999","Total","Bedok",2.9
2015,"$9,000 - $9,999","Total","Bishan",1
2015,"$9,000 - $9,999","Total","Bukit Batok",1.8
2015,"$9,000 - $9,999","Total","Bukit Merah",1.8
2015,"$9,000 - $9,999","Total","Bukit Panjang",2.4
2015,"$9,000 - $9,999","Total","Bukit Timah",0.2
2015,"$9,000 - $9,999","Total","Choa Chu Kang",3.2
2015,"$9,000 - $9,999","Total","Clementi",1.2
2015,"$9,000 - $9,999","Total","Geylang",1.4
2015,"$9,000 - $9,999","Total","Hougang",2.8
2015,"$9,000 - $9,999","Total","Jurong East",1.4
